"Indicators","S.No","Parameters","Type","Total Facility","April 11-12","April 12-13","Difference-April 12-13-April 11-12","Total Reported Facility","May 11-12","May 12-13","Difference-May 12-13-May 11-12","Total Reported Facility","June 11-12","June 12-13","Difference-June 12-13-June 11-12","Total Reported Facility","July 11-12","July 12-13","Difference-July 12-13-July 11-12","Total Reported Facility","August 11-12","August 12-13","Difference-August 12-13-August 11-12","Total Reported Facility","September 11-12","September 12-13","Difference-September 12-13-September 11-12","Total Reported Facility","October 11-12","October 12-13","Difference-October 12-13-October 11-12","Total Reported Facility","November 11-12","November 12-13","Difference-November 12-13-November 11-12","Total Reported Facility","December 11-12","December 12-13","Difference-December 12-13-December 11-12","Total Reported Facility","January 11-12","January 12-13","Difference-January 12-13-January 11-12","Total Reported Facility","February 11-12","February 12-13","Difference-February 12-13-February 11-12","Total Reported Facility","March 11-12","March 12-13","Difference-March 12-13-March 11-12","Total Reported Facility","Total 2011-2012","Total 2012-2013"
"M9 [Family Planning]","9.2.1.b","Number of Laparoscopic sterilizations conducted at CHCs","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.2.1.c","Number of Laparoscopic sterilizations conducted at SDHs or DHs","TOTAL","154","229","213","-16","0","227","372","145","0","222","260","38","0","223","150","-73","0","201","139","-62","0","302","382","80","0","118","227","109","0","376","222","-154","0","239","374","135","0","322","160","-162","0","259","204","-55","0","224","157","-67","0","2942","2860"
"M9 [Family Planning]","9.2.1.d","Number of Laparoscopic sterilizations conducted at other State owned public institutions","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.2.1.e","Total Number of Laparoscopic sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.2.1.a to 9.2.1.d)","TOTAL","154","614","381","-233","0","542","919","377","0","545","510","-35","0","549","345","-204","0","435","248","-187","0","510","630","120","0","141","378","237","0","858","517","-341","0","546","749","203","0","648","418","-230","0","526","548","22","0","603","470","-133","0","6517","6113"
"M9 [Family Planning]","9.2.2","Number of Laparoscopic sterilizations conducted at Private facilities","TOTAL","154","90","15","-75","0","142","172","30","0","142","99","-43","0","60","109","49","0","39","100","61","0","52","113","61","0",NA,"74","74","0","106","118","12","0","81",NA,"-81","0","48","2","-46","0","64",NA,"-64","0","133",NA,"-133","0","957","802"
"M9 [Family Planning]","9.3.1.a","Number of Mini-lap sterilizations conducted at PHCs","TOTAL","154","5","25","20","0","97","31","-66","0","38","29","-9","0","31","22","-9","0","24","16","-8","0","23","22","-1","0",NA,"21","21","0","47","57","10","0","50","57","7","0","33","10","-23","0","37",NA,"-37","0","50",NA,"-50","0","435","290"
"M9 [Family Planning]","9.3.1.b","Number of Mini-lap sterilizations conducted at CHCs","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.3.1.c","Number of Mini-lap sterilizations conducted at SDHs or DHs","TOTAL","154","447","354","-93","0","398","761","363","0","586","236","-350","0","579","344","-235","0","479","462","-17","0","488","344","-144","0","270","408","138","0","592","183","-409","0","551","183","-368","0","693","302","-391","0","465","671","206","0","735","1702","967","0","6283","5950"
"M9 [Family Planning]","9.3.1.d","Number of Mini-lap sterilizations conducted at other State owned public institutions","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.3.1.e","Total Number of Mini-lap sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.3.1.a to 9.3.1.d)","TOTAL","154","452","379","-73","0","495","792","297","0","624","265","-359","0","610","366","-244","0","503","478","-25","0","511","366","-145","0","270","429","159","0","639","240","-399","0","601","240","-361","0","726","312","-414","0","502","671","169","0","785","1702","917","0","6718","6240"
"M9 [Family Planning]","9.3.2","Number of Mini-lap sterilizations conducted at Private facilities","TOTAL","154","742","834","92","0","729","737","8","0","737","648","-89","0","728","613","-115","0","734","669","-65","0","708","613","-95","0","874","596","-278","0","898","575","-323","0","760","575","-185","0","737","488","-249","0","825","589","-236","0","1003","576","-427","0","9475","7513"
"M9 [Family Planning]","9.4.1.a","Number of Post-Partum sterilizations conducted at PHCs","TOTAL","154","89","62","-27","0","89","115","26","0","76","29","-47","0","54","57","3","0","68","32","-36","0","90","57","-33","0","55","33","-22","0","121","44","-77","0","85","45","-40","0","66","44","-22","0","57","36","-21","0","81","31","-50","0","931","585"
"M9 [Family Planning]","9.4.1.b","Number of Post-Partum sterilizations conducted at CHCs","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.4.1.c","Number of Post-Partum sterilizations conducted at SDHs or DHs","TOTAL","154","275","124","-151","0","343","251","-92","0","383","287","-96","0","380","269","-111","0","365","465","100","0","356","269","-87","0","365","406","41","0","233","578","345","0","292","554","262","0","217","472","255","0","155","200","45","0","284","549","265","0","3648","4424"
"M9 [Family Planning]","9.4.1.d","Number of Post-Partum sterilizations conducted at other State owned public institutions","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.4.1.e","Total Number of Post-Partum sterilizations conducted at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.4.1.a to 9.4.1.d)","TOTAL","154","364","186","-178","0","432","366","-66","0","459","316","-143","0","434","326","-108","0","433","497","64","0","446","326","-120","0","420","439","19","0","354","622","268","0","377","599","222","0","283","516","233","0","212","236","24","0","365","580","215","0","4579","5009"
"M9 [Family Planning]","9.4.2","Number of Post-Partum sterilizations conducted at Private facilities","TOTAL","154","22","29","7","0","31","44","13","0","86","35","-51","0","43","10","-33","0","26","24","-2","0","16","10","-6","0","43","16","-27","0","59","29","-30","0","22",NA,"-22","0","28",NA,"-28","0","28","10","-18","0","26","1","-25","0","430","208"
"M9 [Family Planning]","9.5.1.a","Number of IUCD Insertions conducted at SCs","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.5.1.b","Number of IUCD Insertions conducted at PHCs","TOTAL","154","315","435","120","0","332","433","101","0","484","247","-237","0","384","276","-108","0","410","245","-165","0","486","276","-210","0","458","249","-209","0","509","240","-269","0","533","373","-160","0","450","403","-47","0","777","292","-485","0","353","295","-58","0","5491","3764"
"M9 [Family Planning]","9.5.1.c","Number of IUCD Insertions conducted at CHCs","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.5.1.d","Number of IUCD Insertions conducted at SDHs or DHs","TOTAL","154","143","99","-44","0","141","265","124","0","165","129","-36","0","154","771","617","0","142","116","-26","0","126","771","645","0","177","151","-26","0","132","139","7","0","130","83","-47","0","156","166","10","0","114","134","20","0","1021","152","-869","0","2601","2976"
"M9 [Family Planning]","9.5.1.e","Number of IUCD Insertions conducted at other State owned public institutions","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.5.1.f","Total Number of IUCD Insertions conducted at Public facilities i.e. SC, PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 9.5.1.a to 9.5.1.e)","TOTAL","154","458","534","76","0","473","698","225","0","649","376","-273","0","538","1047","509","0","552","361","-191","0","612","1047","435","0","635","400","-235","0","641","379","-262","0","663","456","-207","0","606","569","-37","0","891","426","-465","0","1374","447","-927","0","8092","6740"
"M9 [Family Planning]","9.5.1A","Out of above total, Post Partum (within 48 hours of delivery) IUCD insertions","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.5.2","Number of IUCD Insertions conducted at Private facilities","TOTAL","154","313","489","176","0","385","366","-19","0","355","375","20","0","808","742","-66","0","907","489","-418","0","1072","742","-330","0","788","408","-380","0","900","397","-503","0","899","396","-503","0","503","439","-64","0","507","357","-150","0","1074","384","-690","0","8511","5584"
"M9 [Family Planning]","9.06","Number of IUCD removals","TOTAL","154","210","257","47","0","185","332","147","0","262","159","-103","0","228","233","5","0","345","270","-75","0","273","233","-40","0","305","212","-93","0","314","222","-92","0","317","228","-89","0","344","185","-159","0","304","246","-58","0","318","231","-87","0","3405","2808"
"M9 [Family Planning]","9.07","Number of Oral Pills cycles distributed","TOTAL","154","19007","19938","931","0","19883","18287","-1596","0","20956","21510","554","0","21475","21236","-239","0","21213","22191","978","0","259545","21236","-238309","0","22099","19618","-2481","0","250155","19038","-231117","0","23702","21309","-2393","0","19789","17793","-1996","0","18647","17808","-839","0","20550","18207","-2343","0","717021","238171"
"M9 [Family Planning]","9.08","Number of Condom pieces distributed","TOTAL","154","202084","108727","-93357","0","194047","138718","-55329","0","243892","65221","-178671","0","229051","60589","-168462","0","251698","60084","-191614","0","21473","60589","39116","0","268419","31453","-236966","0","22455","34898","12443","0","264579","25998","-238581","0","202206","20310","-181896","0","196507","10690","-185817","0","185164","20444","-164720","0","2281575","637721"
"M9 [Family Planning]","9.09","Number of Centchroman (weekly) pills given","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.1","Number of Emergency Contraceptive Pills distributed","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","143",NA,"-143","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","143",NA
"M9 [Family Planning]","9.11.1.a","Number of cases of complications following male sterilization","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.11.1.b","Number of cases of complications following female sterilization","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","1","1","0","0",NA,NA,"0","0",NA,NA,"0","0","1","1"
"M9 [Family Planning]","9.11.2.a","Number of failures following male sterilization","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.11.2.b","Number of failures following female sterilization","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.11.3.a","Number of deaths following male sterilization","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.11.3.b","Number of deaths following female sterilization","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M9 [Family Planning]","9.12","Number of Institutions having NSV trained doctors","TOTAL","154","4","4","0","0","4","4","0","0","4","4","0","0","4","4","0","0","4","4","0","0","4","4","0","0","4","4","0","0","4","4","0","0","4","4","0","0","4","4","0","0","4","4","0","0","4","4","0","0","48","48"
"M10 [CHILD IMMUNIZATION]","10.1.01","Number of Infants (0 to 11 months old)received BCG immunisation","TOTAL","154","6688","6466","-222","0","6688","6082","-606","0","6799","5058","-1741","0","6864","5279","-1585","0","6980","5419","-1561","0","6808","9296","2488","0","7372","5770","-1602","0","7188","6510","-678","0","7173","6625","-548","0","7029","5325","-1704","0","6438","5873","-565","0","7185","5959","-1226","0","83212","73662"
"M10 [CHILD IMMUNIZATION]","10.1.02","Number of Infants (0 to 11 months old) received DPT1 immunisation","TOTAL","154","6592","6602","10","0","6742","6284","-458","0","6873","5216","-1657","0","6860","5634","-1226","0","6904","5628","-1276","0","6879","5925","-954","0","7494","5926","-1568","0","7276","6171","-1105","0","7340","6850","-490","0","7258","5959","-1299","0","6834","6145","-689","0","7230","6234","-996","0","84282","72574"
"M10 [CHILD IMMUNIZATION]","10.1.03","Number of Infants (0 to 11 months old) received DPT2 immunisation","TOTAL","154","6565","6573","8","0","6708","6137","-571","0","6798","5085","-1713","0","6849","5519","-1330","0","6862","5506","-1356","0","6778","5827","-951","0","7414","5813","-1601","0","7259","6039","-1220","0","7266","6658","-608","0","7214","5937","-1277","0","6605","6099","-506","0","7118","6234","-884","0","83436","71427"
"M10 [CHILD IMMUNIZATION]","10.1.04","Number of Infants (0 to 11 months old) received DPT3 immunisation","TOTAL","154","6544","6478","-66","0","6682","6066","-616","0","6781","5065","-1716","0","6832","5434","-1398","0","6832","5452","-1380","0","6736","5808","-928","0","7375","5868","-1507","0","7175","5542","-1633","0","7116","6520","-596","0","7166","5962","-1204","0","6575","6194","-381","0","7154","6270","-884","0","82968","70659"
"M10 [CHILD IMMUNIZATION]","10.1.04A","Number of Infants (0 to 11 months old) received Pentavalent1 immunisation","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M10 [CHILD IMMUNIZATION]","10.1.04B","Number of Infants (0 to 11 months old) received Pentavalent2 immunisation","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M10 [CHILD IMMUNIZATION]","10.1.04C","Number of Infants (0 to 11 months old) received Pentavalent3 immunisation","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M10 [CHILD IMMUNIZATION]","10.1.05","Number of Infants (0 to 11 months old) received OPV 0 (Birth Dose)","TOTAL","154","3610","5182","1572","0","5392","4911","-481","0","4391","3981","-410","0","4781","4315","-466","0","4873","4760","-113","0","4835","8417","3582","0","4442","4657","215","0","4723","4870","147","0","4578","5546","968","0","4581","4474","-107","0","4506","4545","39","0","5664","4609","-1055","0","56376","60267"
"M10 [CHILD IMMUNIZATION]","10.1.06","Number of Infants (0 to 11 months old) received OPV1 (First Dose)","TOTAL","154","6592","6602","10","0","6742","6284","-458","0","6873","5216","-1657","0","6860","5634","-1226","0","6984","5628","-1356","0","6879","5925","-954","0","7494","5926","-1568","0","7276","6171","-1105","0","7340","6850","-490","0","7258","5959","-1299","0","6834","6145","-689","0","7230","6234","-996","0","84362","72574"
"M10 [CHILD IMMUNIZATION]","10.1.07","Number of Infants (0 to 11 months old) received OPV2 (Second Dose)","TOTAL","154","6565","6573","8","0","6708","6137","-571","0","6798","5085","-1713","0","6849","5519","-1330","0","6862","5506","-1356","0","6778","5827","-951","0","7414","5813","-1601","0","7259","6039","-1220","0","7246","6658","-588","0","7214","5937","-1277","0","6605","6099","-506","0","7118","6234","-884","0","83416","71427"
"M10 [CHILD IMMUNIZATION]","10.1.08","Number of Infants (0 to 11 months old) received OPV3 (Third Dose)","TOTAL","154","6544","6478","-66","0","6682","6066","-616","0","6781","5065","-1716","0","6832","5434","-1398","0","6832","5452","-1380","0","6736","5808","-928","0","7375","5868","-1507","0","7175","5542","-1633","0","7116","6520","-596","0","7166","5962","-1204","0","6575","6194","-381","0","7154","6270","-884","0","82968","70659"
"M10 [CHILD IMMUNIZATION]","10.1.09A","Number of Infants (upto 48 hrs of age) received Hepatitis-B0 immunisation","TOTAL","154",NA,"6602","6602","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"5628","5628","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"4609","4609","0",NA,"16839"
"M10 [CHILD IMMUNIZATION]","10.1.09","Number of Infants (0 to 11 months old) received Hepatitis-B1 immunisation","TOTAL","154","6592",NA,"-6592","0","6742","6284","-458","0","6873","5216","-1657","0","6860","5634","-1226","0","4797","5506","709","0","6279","5925","-354","0","7392","5926","-1466","0","7276","6171","-1105","0","7340","6850","-490","0","7210","5959","-1251","0","6834","6145","-689","0","7230","6234","-996","0","81425","65850"
"M10 [CHILD IMMUNIZATION]","10.1.10","Number of Infants (0 to 11 months old) received Hepatitis-B2 immunisation","TOTAL","154","6565","6573","8","0","6708","6137","-571","0","6798","5085","-1713","0","6849","5519","-1330","0","4606","5452","846","0","6217","5827","-390","0","7322","5813","-1509","0","7259","6039","-1220","0","7246","6658","-588","0","7192","5937","-1255","0","6605","6099","-506","0","7118","6234","-884","0","80485","71373"
"M10 [CHILD IMMUNIZATION]","10.1.11","Number of Infants (0 to 11 months old) received Hepatitis-B3 immunisation","TOTAL","154","6544","6478","-66","0","6682","6066","-616","0","6781","5065","-1716","0","6832","5434","-1398","0","4601","5523","922","0","6122","5808","-314","0","7304","5868","-1436","0","7216","5542","-1674","0","7216","6520","-696","0","7175","5962","-1213","0","6575","6194","-381","0","7154","6270","-884","0","80202","70730"
"M10 [CHILD IMMUNIZATION]","10.1.12","Number of Infants (0 to 11 months old) received Measles immunisation (First Dose)","TOTAL","154","6538","6597","59","0","6685","6187","-498","0","6756","5161","-1595","0","6815","5727","-1088","0","6832","5727","-1105","0","6958","5875","-1083","0","7642","6002","-1640","0","7028","6574","-454","0","7393","7026","-367","0","7188","6035","-1153","0","6855","6359","-496","0","7276","6261","-1015","0","83966","73531"
"M10 [CHILD IMMUNIZATION]","10.1.12B","Number of Infants (more than 16 months old) received Measles immunisation (Second Dose)","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M10 [CHILD IMMUNIZATION]","10.1A","No. of Children aged 9 to 12 months who received JE 1st dose","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M10 [CHILD IMMUNIZATION]","10.1.13.a","Total number of male children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month","TOTAL","154","3319","3355","36","0","3379","3166","-213","0","3439","2605","-834","0","3473","2888","-585","0","2038","2816","778","0","3555","2582","-973","0","3849","3078","-771","0","3680","3497","-183","0","3609","3659","50","0","3695","2809","-886","0","3285","3169","-116","0","3696","3131","-565","0","41017","36755"
"M10 [CHILD IMMUNIZATION]","10.1.13.b","Total number of female children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month","TOTAL","154","3219","3242","23","0","3306","3021","-285","0","3317","2546","-771","0","3342","2839","-503","0","2023","2707","684","0","3403","2450","-953","0","3722","2924","-798","0","3348","3077","-271","0","3607","3364","-243","0","3493","3122","-371","0","3290","3153","-137","0","3580","3067","-513","0","39650","35512"
"M10 [CHILD IMMUNIZATION]","10.1.13.c","Total number of children (9 to 11 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month (sum of items 10.1.13.a and 10.1.13.b)","TOTAL","154","6538","6597","59","0","6685","6187","-498","0","6756","5151","-1605","0","6815","5727","-1088","0","4061","5523","1462","0","6958","5032","-1926","0","7571","6002","-1569","0","7028","6574","-454","0","7216","7023","-193","0","7188","5931","-1257","0","6575","6322","-253","0","7276","6198","-1078","0","80667","72267"
"M10 [CHILD IMMUNIZATION]","10.2.1","Number of Infants (more than 16 months old) received DPT Booster dose","TOTAL","154","5639","5818","179","0","5898","5401","-497","0","5942","4715","-1227","0","5901","4771","-1130","0","5895","4979","-916","0","5772","5039","-733","0","6605","4942","-1663","0","6490","8875","2385","0","6381","5879","-502","0","6207","5213","-994","0","5763","5470","-293","0","6292","5527","-765","0","72785","66629"
"M10 [CHILD IMMUNIZATION]","10.2.2","Number of Infants (more than 16 months old) received OPV Booster dose","TOTAL","154","5639","5818","179","0","5898","5818","-80","0","5942","4715","-1227","0","5901","4726","-1175","0","5895","4979","-916","0","5772","5039","-733","0","6605","4942","-1663","0","6490","8875","2385","0","6381","5879","-502","0","6207","5213","-994","0","5763","5470","-293","0","6292","5527","-765","0","72785","67001"
"M10 [CHILD IMMUNIZATION]","10.2.3","Number of Infants (more than 16 months old) received Measles, Mumps, Rubella (MMR) Vaccination","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"790","790","0","457",NA,"-457","0","637",NA,"-637","0","338",NA,"-338","0",NA,NA,"0","0",NA,NA,"0","0","1432","790"
"M10 [CHILD IMMUNIZATION]","10.3.1.a","Total number of male children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M10 [CHILD IMMUNIZATION]","10.3.1.b","Total number of female children (12 to 23 months old) fully immunised (BCG+DPT123/Pentavalent123+OPV123+Measles) during the month","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M10 [CHILD IMMUNIZATION]","10.3.1.c","Total number of children (12 to 23 months old) fully immunised (BCG+DPT123+OPV123/Pentavalent123+Measles) during the month (sum of items 10.3.1.a and 10.3.1.b)","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M10 [CHILD IMMUNIZATION]","10.3.2","Number of children (more than 5 years old) given DT5","TOTAL","154","4375","4806","431","0","4599","4657","58","0","5155","4223","-932","0","4894","4253","-641","0","5072","4338","-734","0","4942","4791","-151","0","5784","4768","-1016","0","11249","5175","-6074","0","6909","5400","-1509","0","5580","4870","-710","0","5370","5338","-32","0","5270","4978","-292","0","69199","57597"
"M10 [CHILD IMMUNIZATION]","10.3.3","Number of children (more than 10 years old) given TT10","TOTAL","154","4974","4174","-800","0","5262","4305","-957","0","4807","4037","-770","0","5248","4458","-790","0","5186","4538","-648","0","5006","4526","-480","0","5302","4643","-659","0","9195","4925","-4270","0","6069","5265","-804","0","5103","4748","-355","0","5145","4778","-367","0","5291","4888","-403","0","66588","55285"
"M10 [CHILD IMMUNIZATION]","10.3.4","Number of children (more than 16 years old) given TT16","TOTAL","154","4592","4149","-443","0","5067","4232","-835","0","1044","4070","3026","0","4888","4112","-776","0","4921","4561","-360","0","4701","4541","-160","0","5067","4615","-452","0","7752","4805","-2947","0","5239","5152","-87","0","4690","4701","11","0","4560","4756","196","0","4816","4753","-63","0","57337","54447"
"M10 [CHILD IMMUNIZATION]","10.3.5.a","Number of cases of Abscess reported following immunisation [Adverse Event Following Immunisation (AEFI)]","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M10 [CHILD IMMUNIZATION]","10.3.5.b","Number of cases of Death reported following immunisation [Adverse Event Following Immunisation (AEFI)]","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
